,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week 3,,,,,,,,,,,,,,,,,,Week 4,,,,,,,,,,,,,,,,,,,Week 5,,,,,,,,,,,,,,,,,,week 6 pivot,,,,,,,,,,,,,,,
D1,Planned,,,,,,,,,Executed,,,,,,,,D1,Planned,,,,,,,,,Executed,,,,,,,,,D1,Planned,,,,,,,,,Executed,,,,,,,,,,,,,,,,,,,,,,,
,Exercise,,NOTES,Reps,RPE,weight,% drop,%,e1rm,NOTES,Reps,RPE,weight,e1rm,%,% drop,,,Exercise,,NOTES,Reps,RPE,weight,% drop,%,e1rm,NOTES,Reps,RPE,weight,e1rm,%,% drop,,,,Exercise,,NOTES,Reps,RPE,weight,% drop,%,e1rm,NOTES,Reps,RPE,weight,e1rm,%,% drop,,Day 1,,,,,,,,,,,,,,,
,,,,3,6,107.5,,0.811,132.6,,3,6,107.5,132.6,0.811,0,,,,,,3,6.5,110,,0.824,133.5,,3,8,110,127.5,0.863,-5.1,,,,,,,3,7,105,-2%,0.837,125.4,,3,6.5,105,127.4,0.824,0,,,,,,,,,,,,,,,,,
,,,2 sets,3,6,107.5,,0.811,132.6,,3,8,107.5,124.6,0.863,-6,,,,,2 sets,3,6.5,105,,0.824,127.4,,3,6,105,129.5,0.811,0,,,,,,2 sets,3,7,107.5,,0.837,128.4,,3,6.5,105,127.4,0.824,0,,Day 3,,,,,,,,,,,,,,,
,deadlift,sumo paused,,4,6,160,,0.786,203.6,deadlift,4,7,160,197.3,0.811,,,,deadlift,sumo paused,,4,6.5,160,,0.798,200.5,deadlift,4,5.5,170,219.6,0.774,,,,,deadlift,sumo paused,,4,6.5,170,,0.798,213,deadlift,4,7.5,170,206.3,0.824,,,Planned,,,,,,,,,Executed,,,,,,
,,,,4,5.5,152.5,,0.774,197,,4,5.5,152.5,197,0.774,-0.2,,,,,,4,5.5,170,,0.774,219.6,,4,5.5,170,219.6,0.774,0,,,,,,,4,6,162.5,,0.786,206.7,,4,7,160,197.3,0.811,-4.4,,Exercise,,NOTES,Reps,RPE,weight,% drop,%,e1rm,NOTES,Reps,RPE,weight,e1rm,%,% drop
,,,,4,5.5,152.5,,0.774,197,,4,5.5,152.5,197,0.774,0,,,,,,4,5.5,170,,0.774,219.6,,4,5.5,170,219.6,0.774,0,,,,,,,4,6,155,,0.786,197.2,,4,6,152.5,194,0.786,-1.7,,squat,low bar,,1,5,160,,0.837,191.2,squat,1,6,160,185.4,0.863,
,,horizontal pull/t bar row,3 sets,10-12,6,,,,,,,,,,,,,,,horizontal pull/t bar row,3 sets,10-12,6,,,,,,,,,,,,,,,,horizontal pull/t bar row,3 sets,10-12,6,,,,,,,,,,,,,,,,4,5,137.5,-2%,0.762,180.4,,4,5,137.5,180.4,0.762,-2.7
,,triceps pushdown,3 sets,10~12,7,,,,,,,,,,,,,,,triceps pushdown,3 sets,10~12,7,,,,,,,,,,,,,,,,triceps pushdown,3 sets,10~12,7,,,,,,,,,,,,,,,2 sets,4,5,130,-5%,0.762,170.6,,4,5,130,170.6,0.762,-5.4
,,vertical pulldown,3 sets,10-12,6,,,,,,,,,,,,,,,vertical pulldown,3 sets,10-12,6,,,,,,,,,,,,,,,,vertical pulldown,3 sets,10-12,6,,,,,,,,,,,,,bench press,comp paused,,4,5.5,102.5,,0.774,132.4,bench ,4,5,102.5,134.5,0.762,
D4,Planned,,,,,,,,,Executed,,,,,,,,D4,Planned,,,,,,,,,Executed,,,,,,,,,D4,Planned,,,,,,,,,Executed,,,,,,,,,,,4,5,100,-2%,0.762,131.2,,4,5,100,131.2,0.762,-2.5
,Exercise,,NOTES,Reps,RPE,weight,% drop,%,e1rm,NOTES,Reps,RPE,weight,e1rm,%,% drop,,,Exercise,,NOTES,Reps,RPE,weight,% drop,%,e1rm,NOTES,Reps,RPE,weight,e1rm,%,% drop,,,,Exercise,,NOTES,Reps,RPE,weight,% drop,%,e1rm,NOTES,Reps,RPE,weight,e1rm,%,% drop,,,,2 sets,4,5,100,,0.762,131.2,,4,5,100,131.2,0.762,0
,squat,ssb high bar paused,,5,7,100,,0.786,127.2,squat,6,7,100,131.2,0.762,,,,squat,ssb high bar paused,,5,7,100,,0.786,127.2,squat,5,6,105,137.8,0.762,,,,,squat,ssb high bar paused,,5,7,110,,0.786,139.9,squat,5,6,110,144.4,0.762,,,,leg press,3 sets ,10-12,5,,,,,,,,,,,
,,,,5,6,100,,0.762,131.2,,5,7,100,127.2,0.786,-3,,,,,,5,6,105,,0.762,137.8,,5,6,105,137.8,0.762,0,,,,,,,5,6,110,,0.762,144.4,,5,6,110,144.4,0.762,0,,,leg extesion,2 sets,10~12,5,,,,,,,,,,,
,,,2 sets,5,5.5,95,,0.751,126.5,,5,6,95,124.7,0.762,-2,,,,,2 sets,5,5.5,102.5,,0.751,136.5,,5,5.5,102.5,136.5,0.751,-0.9,,,,,,2 sets,5,5.5,107.5,,0.751,143.1,,5,6,105,137.8,0.762,-4.6,,,seated smith press,3 sets,10-12,7,,,,,,,,,,,
,,leg press,3 sets ,10-12,7,,,,,,,,,,,,,,,leg press,3 sets ,10-12,7,,,,,,,,,,,,,,,,leg press,3 sets ,10-12,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,leg extesion,2 sets,10~12,7,,,,,,,,,,,,,,,leg extesion,2 sets,10~12,7,,,,,,,,,,,,,,,,leg extesion,2 sets,10~12,7,,,,,,,,,,,,,Day 4,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Planned,,,,,,,,,Executed,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Exercise,,NOTES,Reps,RPE,weight,% drop,%,e1rm,NOTES,Reps,RPE,weight,e1rm,%,% drop
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,deadlift,sumo paused,,4,5,157.5,,0.762,206.7,deadlift,4,5,160,210,0.762,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,152.5,-5%,0.762,200.1,,4,5,152.5,200.1,0.762,-4.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,152.5,,0.762,200.1,,4,5,152.5,200.1,0.762,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,horizontal pull/t bar row,3 sets,10-12,6,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,triceps pushdown,3 sets,10~12,7,,,,,, ,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vertical pulldown,3 sets,10-12,6,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,
